"id","year","month","casenumber","disease","item","datestart","dateend","districtcode","unit","value","annotation","sourceId"
"146","2015","8","TKH-2015-000722","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2015-05-12","2015-08-18","318","number","10",,"4"
"147","2016","9","TKH-2016-000179","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2016-05-23","2016-09-27","504","number","0",,"1"
"148","2016","6","TKH-2016-000258","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2016-06-03",NULL,"621","number","20",,"57"
"149","2016","7","TKH-2016-000258","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2016-06-03",NULL,"621","number","20",,"58"
"150","2016","8","TKH-2016-000258","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2016-06-03",NULL,"621","number","20",,"59"
"151","2016","9","TKH-2016-000258","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2016-06-03",NULL,"621","number","20",,"1"
"152","2016","9","TKH-2016-000439","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2016-09-07",NULL,"802","number","7",,"1"
"153","2016","10","TKH-2016-000439","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2016-09-07",NULL,"802","number","7",,"29"
"154","2016","11","TKH-2016-000439","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2016-09-07",NULL,"802","number","7",,"16"
"155","2016","12","TKH-2016-000439","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2016-09-07",NULL,"802","number","7",,"17"
"156","2017","1","TKH-2016-000439","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2016-09-07",NULL,"802","number","7",,"18"
"157","2017","2","TKH-2016-000439","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2016-09-07",NULL,"802","number","7",,"19"
"158","2017","3","TKH-2016-000439","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2016-09-07",NULL,"802","number","7",,"20"
"159","2017","4","TKH-2016-000439","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2016-09-07",NULL,"802","number","7",,"21"
"160","2017","5","TKH-2016-000439","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2016-09-07","2017-06-09","802","number","7",,"22"
"161","2017","6","TKH-2016-000439","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2016-09-07","2017-06-09","802","number","7",,"23"
"162","2016","10","TKH-2016-000495","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2016-10-03",NULL,"802","number","2",,"29"
"163","2016","11","TKH-2016-000495","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2016-10-03",NULL,"802","number","2",,"16"
"164","2016","12","TKH-2016-000495","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2016-10-03",NULL,"802","number","2",,"17"
"165","2017","1","TKH-2016-000495","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2016-10-03",NULL,"802","number","2",,"18"
"166","2017","2","TKH-2016-000495","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2016-10-03",NULL,"802","number","2",,"19"
"167","2017","3","TKH-2016-000495","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2016-10-03",NULL,"802","number","2",,"20"
"168","2017","4","TKH-2016-000495","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2016-10-03",NULL,"802","number","2",,"21"
"169","2017","5","TKH-2016-000495","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2016-10-03","2017-06-09","802","number","2",,"22"
"170","2017","6","TKH-2016-000495","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2016-10-03","2017-06-09","802","number","2",,"23"
"171","2017","9","TKH-2017-000330","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2017-07-06","2017-10-11","414","number","9",,"24"
"172","2017","10","TKH-2017-000330","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2017-07-06","2017-10-16","414","number","9",,"9"
"173","2018","7","TKH-2018-000238","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-07-11",NULL,"621","number","3",,"60"
"174","2018","8","TKH-2018-000238","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-07-11",NULL,"621","number","3",,"39"
"175","2018","9","TKH-2018-000238","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-07-11",NULL,"621","number","3",,"8"
"176","2018","9","TKH-2018-000238","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-07-11",NULL,"621","number","3",,"8"
"177","2018","10","TKH-2018-000238","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-07-11","2018-10-05","621","number","3",,"40"
"178","2018","7","TKH-2018-000240","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-07-11",NULL,"621","number","2",,"60"
"179","2019","6","TKH-2019-000082","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2019-04-23","2019-07-02","306","number","0",,"31"
"180","2019","7","TKH-2019-000082","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2019-04-23","2019-07-02","306","number","0",,"32"
"181","2018","5","TKH-2018-000080","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-05-02",NULL,"614","number","8",,"25"
