"îd","format","reference"
"43","BibTeX","@techreport{bundesministerium_fur_soziales_gesundheit_pflege_und_konsumentenschutz_tiergesundheitsbericht_2019,
	address = {Wien, AT},
	title = {Tiergesundheitsbericht {Berichtszeitraum} {März} 2019},
	url = {https://www.verbrauchergesundheit.gv.at/tiere/krankheiten/tgb_adns/TGBMonatsberichtOesterreichMaerz2019.pdf?92t2u2},
	language = {de},
	urldate = {2023-02-08},
	author = {{Bundesministerium für Soziales, Gesundheit, Pflege und Konsumentenschutz}},
	month = apr,
	year = {2019},
}
"
"44","BibTeX","@techreport{bundesministerium_fur_soziales_gesundheit_pflege_und_konsumentenschutz_tiergesundheitsbericht_2019,
	address = {Wien, AT},
	title = {Tiergesundheitsbericht {Berichtszeitraum} {April} 2019},
	url = {https://www.verbrauchergesundheit.gv.at/tiere/krankheiten/tgb_adns/TGBMonatsberichtOesterreichApril2019.pdf?92t33i},
	language = {de},
	urldate = {2023-02-08},
	author = {{Bundesministerium für Soziales, Gesundheit, Pflege und Konsumentenschutz}},
	month = may,
	year = {2019},
}
"
"45","BibTeX","@techreport{bundesministerium_fur_soziales_gesundheit_pflege_und_konsumentenschutz_tiergesundheitsbericht_2015,
	address = {Wien, AT},
	title = {Tiergesundheitsbericht {Berichtszeitraum} {April} 2015},
	url = {https://www.verbrauchergesundheit.gv.at/tiere/krankheiten/tgb_adns/4TGB_April2015.pdf?92t2ke},
	language = {de},
	urldate = {2023-02-08},
	author = {{Bundesministerium für Soziales, Gesundheit, Pflege und Konsumentenschutz}},
	month = apr,
	year = {2015},
}
"
"46","BibTeX","@techreport{bundesministerium_fur_soziales_gesundheit_pflege_und_konsumentenschutz_tiergesundheitsbericht_2015,
	address = {Wien, AT},
	title = {Tiergesundheitsbericht {Berichtszeitraum} {Mai} 2015},
	url = {https://www.verbrauchergesundheit.gv.at/tiere/krankheiten/tgb_adns/5TGB_Mai_2015.pdf?92t2ke},
	language = {de},
	urldate = {2023-02-08},
	author = {{Bundesministerium für Soziales, Gesundheit, Pflege und Konsumentenschutz}},
	month = jun,
	year = {2015},
}
"
"47","BibTeX","@techreport{bundesministerium_fur_soziales_gesundheit_pflege_und_konsumentenschutz_tiergesundheitsbericht_2018,
	address = {Wien, AT},
	title = {Tiergesundheitsbericht {Berichtszeitraum} {Juni} 2018},
	url = {https://www.verbrauchergesundheit.gv.at/tiere/krankheiten/tgb_adns/TGB_AT_Juni_2018.pdf?92t35r},
	language = {de},
	urldate = {2023-02-08},
	author = {{Bundesministerium für Soziales, Gesundheit, Pflege und Konsumentenschutz}},
	month = jul,
	year = {2018},
}
"
"48","BibTeX","@techreport{bundesministerium_fur_soziales_gesundheit_pflege_und_konsumentenschutz_tiergesundheitsbericht_2015,
	address = {Wien, AT},
	title = {Tiergesundheitsbericht {Berichtszeitraum} 1. - 31. {Jänner} 2015},
	url = {https://www.verbrauchergesundheit.gv.at/tiere/krankheiten/tgb_adns/15_2_avn_TGB_1_15.pdf?92t2ke},
	language = {de},
	urldate = {2023-02-08},
	author = {{Bundesministerium für Soziales, Gesundheit, Pflege und Konsumentenschutz}},
	month = feb,
	year = {2015},
}
"
"49","BibTeX","@techreport{bundesministerium_fur_soziales_gesundheit_pflege_und_konsumentenschutz_tiergesundheitsbericht_2015,
	address = {Wien, AT},
	title = {Tiergesundheitsbericht {Berichtszeitraum} {Februar} 2015},
	url = {https://www.verbrauchergesundheit.gv.at/tiere/krankheiten/tgb_adns/15_3_avn_TGB__2_2015.pdf?92t2ke},
	language = {de},
	urldate = {2023-02-08},
	author = {{Bundesministerium für Soziales, Gesundheit, Pflege und Konsumentenschutz}},
	month = mar,
	year = {2015},
}
"
"50","BibTeX","@techreport{bundesministerium_fur_soziales_gesundheit_pflege_und_konsumentenschutz_tiergesundheitsbericht_2015,
	address = {Wien, AT},
	title = {Tiergesundheitsbericht {Berichtszeitraum} {März} 2015},
	url = {https://www.verbrauchergesundheit.gv.at/tiere/krankheiten/tgb_adns/3TGB_Maerz_2015.pdf?92t2kf},
	language = {de},
	urldate = {2023-02-08},
	author = {{Bundesministerium für Soziales, Gesundheit, Pflege und Konsumentenschutz}},
	month = apr,
	year = {2015},
}
"
"51","BibTeX","@techreport{bundesministerium_fur_soziales_gesundheit_pflege_und_konsumentenschutz_tiergesundheitsbericht_2015,
	address = {Wien, AT},
	title = {Tiergesundheitsbericht {Berichtszeitraum} {November} 2015},
	url = {https://www.verbrauchergesundheit.gv.at/tiere/krankheiten/tgb_adns/11tgb_at_11_15.pdf?92t36b},
	language = {de},
	urldate = {2023-02-08},
	author = {{Bundesministerium für Soziales, Gesundheit, Pflege und Konsumentenschutz}},
	month = dec,
	year = {2015},
}
"
"52","BibTeX","@techreport{bundesministerium_fur_soziales_gesundheit_pflege_und_konsumentenschutz_tiergesundheitsbericht_2016,
	address = {Wien, AT},
	title = {Tiergesundheitsbericht {Berichtszeitraum} {Dezember} 2015},
	url = {https://www.verbrauchergesundheit.gv.at/tiere/krankheiten/tgb_adns/12_15_TGB_AT.pdf?92t3bw},
	language = {de},
	urldate = {2023-02-08},
	author = {{Bundesministerium für Soziales, Gesundheit, Pflege und Konsumentenschutz}},
	month = jan,
	year = {2016},
}
"
